일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2022-09-01,산청(289),X,26.7,25.3,21.1,18.8,90.9,X, ,X,높음
2022-09-01,거제(294),X,25.2,23,21.5,20.2,87.3,X, ,X,높음
2022-09-01,남해(295),X,25.7,23.9,21.9,20.3,88.5,X, ,X,높음
2022-09-01,부천(433),X,29.3,30.1,23.2,17.5,68,X, ,X,매우높음
2022-09-01,안양(434),X,24.3,29.9,23.9,18.6,,X, ,X,매우높음
2022-09-01,광명(437),X,29.7,30.7,25.2,19.9,64,O, ,X,매우높음
2022-09-01,군포(438),X,29.4,30.8,23.8,17.7,67,X, ,X,매우높음
2022-09-01,김포(441),X,,29,23,17.3,,X, ,X,높음
2022-09-01,하남(444),X,29.5,29.8,21.4,15.5,75,X, ,X,높음
2022-09-01,의왕(445),X,,,,,,X, ,X,높음
2022-09-01,포천(504),X,29.6,30.3,21.6,15.7,78,X, ,X,높음
2022-09-01,가평조종(505),X,29.3,29.3,21,15.8,86,X, ,X,높음
2022-09-01,안성(516),X,28.9,29.4,22.3,17.2,82,X, ,X,높음
2022-09-01,간성(517),X,28.5,26.7,20.4,14.7,86,X, ,X,높음
2022-09-01,평창(526),X,27.7,28.3,20.2,15.2,77,X, ,X,높음
2022-09-01,의정부(532),X,30.2,30,22.2,16.5,84,X, ,X,높음
2022-09-01,횡성(536),X,29.9,29.5,21.8,16,84,X, ,X,높음
2022-09-01,고양(540),X,31,31,22.6,16.5,76,X, ,X,높음
2022-09-01,남양주(541),X,29.8,30.7,22.6,15.9,73,X, ,X,높음
2022-09-01,안산(545),X,29.8,30,22,15,83,X, ,X,매우높음
2022-09-01,경기광주(546),X,28.6,28.7,21.4,17.1,78,X, ,X,높음
2022-09-01,여주(548),X,27.7,27.5,21.7,17.3,84,X, ,X,높음
2022-09-01,용인(549),X,27.5,28.7,21.2,16.4,78,X, ,X,높음
2022-09-01,오산(550),X,28,28.5,22.7,16.7,75,X, ,X,높음
2022-09-01,평택(551),X,30,30.3,23.1,17.7,84,X, ,X,높음
2022-09-01,화천(555),X,30.6,30.9,21.3,16.8,85,X, ,X,높음
2022-09-01,양구(556),X,28.8,29.4,20.2,15.8,79,X, ,X,높음
2022-09-01,시흥(565),X,29.9,30.9,22.9,16.5,77,X, ,X,매우높음
2022-09-01,구리(569),X,29.8,30.9,23.1,16.8,70,X, ,X,매우높음
2022-09-01,화성(571),X,29.8,29.8,23.5,17.9,80,X, ,X,높음
2022-09-01,성남(572),X,28.5,29.7,22.6,16.6,72,X, ,X,높음
2022-09-01,과천(590),X,29.7,30.6,22,15.8,81,X, ,X,매우높음
2022-09-01,양주(598),X,29.3,29.5,22,16.4,81,X, ,X,높음
2022-09-01,단양(601),X,28.5,28.2,21.2,17.2,85,X, ,X,높음
2022-09-01,진천(602),X,29.4,29.7,22.3,18.3,83,X, ,X,높음
2022-09-01,괴산(603),X,28.4,28.1,21.5,17.5,84,X, ,X,높음
2022-09-01,옥천(604),X,27.4,26.4,21.5,17.9,88,X, ,X,높음
2022-09-01,홍북(608),X,28.4,28.8,21.8,16.9,83,X, ,X,높음
2022-09-01,공주(612),X,28.5,28.3,22.1,18.5,84,X, ,X,높음
2022-09-01,서천(614),X,29.9,29.3,22.3,17.1,86,X, ,X,높음
2022-09-01,논산(615),X,30,29.7,22.3,17.9,82,X, ,X,높음
2022-09-01,당진(616),X,29.3,28.9,22.7,18,84,X, ,X,높음
2022-09-01,청양(618),X,28.4,,,,,X, ,X,높음
2022-09-01,음성(619),X,27.1,27,20.4,16.5,86,X, ,X,높음
2022-09-01,증평(623),X,28.7,28.1,22,17.6,88,X, ,X,높음
2022-09-01,태안(627),X,29.5,28.4,23.5,19,82,X, ,X,매우높음
2022-09-01,예산(628),X,29,29,22.7,18.4,84,X, ,X,높음
2022-09-01,아산(634),X,29.4,29.4,23,17.8,80,X, ,X,높음
